	Дата	Корпус	Кол-во активных квартир
0	2023-07-06	ул. Александра Митинского, д.  6, (ГП-3.1)	1
1	2023-07-06	ул. Александра Митинского, д. 4, (ГП 3.8)	66
2	2023-07-06	ул. Александра Пушкина д.3, (ГП-7.7)	120
3	2023-07-06	ул. Александра Пушкина, д. 3, к.1 (ГП-7.11)	249
4	2023-07-06	ул. Александра Пушкина, д. 5, (ГП-7.6)	266
5	2023-07-06	ул. Валентины Трофимовой, д. 12	73
6	2023-07-06	ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3)	8
7	2023-07-06	ул. Валентины Трофимовой, д. 8	129
8	2023-07-06	ул. Константина Посьета, д.  4к1, (ГП-5.2)	267
9	2023-07-06	ул. Монтажников 36, (ГП-4.7)	31
10	2023-07-06	ул. Монтажников 42, к.1 (ГП-5-12)	110
11	2023-07-06	ул. Монтажников, 42б. (ГП-6.1)	224
12	2023-07-06	ул. Монтажников, д.  42, (ГП-5.10)	224
13	2023-07-06	ул. Монтажников, д.  42а, (ГП-5.11)	224
14	2023-07-06	ул. Монтажников, д. 38	109
15	2023-07-06	ул. Монтажников, д. 40	204
16	2023-07-06	ул. Федора Достоевского, д.  22, (ГП-7.10.2)	5
17	2023-07-06	ул. Федора Достоевского, д.  24, (ГП-7.10.3)	6
18	2023-07-06	ул. Федора Достоевского, д.  26, (ГП-7.1)	255
0	2023-07-07	ул. Александра Митинского, д.  6, (ГП-3.1)	1
1	2023-07-07	ул. Александра Митинского, д. 4, (ГП 3.8)	66
2	2023-07-07	ул. Александра Пушкина д.3, (ГП-7.7)	120
3	2023-07-07	ул. Александра Пушкина, д. 3, к.1 (ГП-7.11)	249
4	2023-07-07	ул. Александра Пушкина, д. 5, (ГП-7.6)	266
5	2023-07-07	ул. Валентины Трофимовой, д. 12	73
6	2023-07-07	ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3)	8
7	2023-07-07	ул. Валентины Трофимовой, д. 8	129
8	2023-07-07	ул. Константина Посьета, д.  4к1, (ГП-5.2)	267
9	2023-07-07	ул. Монтажников 36, (ГП-4.7)	31
10	2023-07-07	ул. Монтажников 42, к.1 (ГП-5-12)	110
11	2023-07-07	ул. Монтажников, 42б. (ГП-6.1)	224
12	2023-07-07	ул. Монтажников, д.  42, (ГП-5.10)	224
13	2023-07-07	ул. Монтажников, д.  42а, (ГП-5.11)	224
14	2023-07-07	ул. Монтажников, д. 38	109
15	2023-07-07	ул. Монтажников, д. 40	204
16	2023-07-07	ул. Федора Достоевского, д.  22, (ГП-7.10.2)	5
17	2023-07-07	ул. Федора Достоевского, д.  24, (ГП-7.10.3)	6
18	2023-07-07	ул. Федора Достоевского, д.  26, (ГП-7.1)	255
0	2023-07-08	ул. Александра Митинского, д.  6, (ГП-3.1)	1
1	2023-07-08	ул. Александра Митинского, д. 4, (ГП 3.8)	66
2	2023-07-08	ул. Александра Пушкина д.3, (ГП-7.7)	120
3	2023-07-08	ул. Александра Пушкина, д. 3, к.1 (ГП-7.11)	249
4	2023-07-08	ул. Александра Пушкина, д. 5, (ГП-7.6)	266
5	2023-07-08	ул. Валентины Трофимовой, д. 12	73
6	2023-07-08	ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3)	8
7	2023-07-08	ул. Валентины Трофимовой, д. 8	129
8	2023-07-08	ул. Константина Посьета, д.  4к1, (ГП-5.2)	267
9	2023-07-08	ул. Монтажников 36, (ГП-4.7)	31
10	2023-07-08	ул. Монтажников 42, к.1 (ГП-5-12)	110
11	2023-07-08	ул. Монтажников, 42б. (ГП-6.1)	224
12	2023-07-08	ул. Монтажников, д.  42, (ГП-5.10)	224
13	2023-07-08	ул. Монтажников, д.  42а, (ГП-5.11)	224
14	2023-07-08	ул. Монтажников, д. 38	109
15	2023-07-08	ул. Монтажников, д. 40	204
16	2023-07-08	ул. Федора Достоевского, д.  22, (ГП-7.10.2)	5
17	2023-07-08	ул. Федора Достоевского, д.  24, (ГП-7.10.3)	6
18	2023-07-08	ул. Федора Достоевского, д.  26, (ГП-7.1)	255
0	2023-07-09	ул. Александра Митинского, д.  6, (ГП-3.1)	1
1	2023-07-09	ул. Александра Митинского, д. 4, (ГП 3.8)	66
2	2023-07-09	ул. Александра Пушкина д.3, (ГП-7.7)	120
3	2023-07-09	ул. Александра Пушкина, д. 3, к.1 (ГП-7.11)	249
4	2023-07-09	ул. Александра Пушкина, д. 5, (ГП-7.6)	266
5	2023-07-09	ул. Валентины Трофимовой, д. 12	73
6	2023-07-09	ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3)	8
7	2023-07-09	ул. Валентины Трофимовой, д. 8	129
8	2023-07-09	ул. Константина Посьета, д.  4к1, (ГП-5.2)	267
9	2023-07-09	ул. Монтажников 36, (ГП-4.7)	31
10	2023-07-09	ул. Монтажников 42, к.1 (ГП-5-12)	110
11	2023-07-09	ул. Монтажников, 42б. (ГП-6.1)	224
12	2023-07-09	ул. Монтажников, д.  42, (ГП-5.10)	224
13	2023-07-09	ул. Монтажников, д.  42а, (ГП-5.11)	224
14	2023-07-09	ул. Монтажников, д. 38	109
15	2023-07-09	ул. Монтажников, д. 40	204
16	2023-07-09	ул. Федора Достоевского, д.  22, (ГП-7.10.2)	5
17	2023-07-09	ул. Федора Достоевского, д.  24, (ГП-7.10.3)	6
18	2023-07-09	ул. Федора Достоевского, д.  26, (ГП-7.1)	255
0	2023-07-10	ул. Александра Митинского, д.  6, (ГП-3.1)	1
1	2023-07-10	ул. Александра Митинского, д. 4, (ГП 3.8)	66
2	2023-07-10	ул. Александра Пушкина д.3, (ГП-7.7)	120
3	2023-07-10	ул. Александра Пушкина, д. 3, к.1 (ГП-7.11)	249
4	2023-07-10	ул. Александра Пушкина, д. 5, (ГП-7.6)	266
5	2023-07-10	ул. Валентины Трофимовой, д. 12	73
6	2023-07-10	ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3)	8
7	2023-07-10	ул. Валентины Трофимовой, д. 8	129
8	2023-07-10	ул. Константина Посьета, д.  4к1, (ГП-5.2)	267
9	2023-07-10	ул. Монтажников 36, (ГП-4.7)	31
10	2023-07-10	ул. Монтажников 42, к.1 (ГП-5-12)	110
11	2023-07-10	ул. Монтажников, 42б. (ГП-6.1)	224
12	2023-07-10	ул. Монтажников, д.  42, (ГП-5.10)	224
13	2023-07-10	ул. Монтажников, д.  42а, (ГП-5.11)	224
14	2023-07-10	ул. Монтажников, д. 38	109
15	2023-07-10	ул. Монтажников, д. 40	204
16	2023-07-10	ул. Федора Достоевского, д.  22, (ГП-7.10.2)	5
17	2023-07-10	ул. Федора Достоевского, д.  24, (ГП-7.10.3)	6
18	2023-07-10	ул. Федора Достоевского, д.  26, (ГП-7.1)	255
0	2023-07-11	ул. Александра Митинского, д.  6, (ГП-3.1)	1
1	2023-07-11	ул. Александра Митинского, д. 4, (ГП 3.8)	66
2	2023-07-11	ул. Александра Пушкина д.3, (ГП-7.7)	120
3	2023-07-11	ул. Александра Пушкина, д. 3, к.1 (ГП-7.11)	249
4	2023-07-11	ул. Александра Пушкина, д. 5, (ГП-7.6)	266
5	2023-07-11	ул. Валентины Трофимовой, д. 12	73
6	2023-07-11	ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3)	8
7	2023-07-11	ул. Валентины Трофимовой, д. 8	129
8	2023-07-11	ул. Константина Посьета, д.  4к1, (ГП-5.2)	267
9	2023-07-11	ул. Монтажников 36, (ГП-4.7)	31
10	2023-07-11	ул. Монтажников 42, к.1 (ГП-5-12)	110
11	2023-07-11	ул. Монтажников, 42б. (ГП-6.1)	224
12	2023-07-11	ул. Монтажников, д.  42, (ГП-5.10)	224
13	2023-07-11	ул. Монтажников, д.  42а, (ГП-5.11)	224
14	2023-07-11	ул. Монтажников, д. 38	109
15	2023-07-11	ул. Монтажников, д. 40	204
16	2023-07-11	ул. Федора Достоевского, д.  22, (ГП-7.10.2)	5
17	2023-07-11	ул. Федора Достоевского, д.  24, (ГП-7.10.3)	6
18	2023-07-11	ул. Федора Достоевского, д.  26, (ГП-7.1)	255
0	2023-07-12	ул. Александра Митинского, д.  6, (ГП-3.1)	1
1	2023-07-12	ул. Александра Митинского, д. 4, (ГП 3.8)	66
2	2023-07-12	ул. Александра Пушкина д.3, (ГП-7.7)	120
3	2023-07-12	ул. Александра Пушкина, д. 3, к.1 (ГП-7.11)	249
4	2023-07-12	ул. Александра Пушкина, д. 5, (ГП-7.6)	266
5	2023-07-12	ул. Валентины Трофимовой, д. 12	73
6	2023-07-12	ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3)	8
7	2023-07-12	ул. Валентины Трофимовой, д. 8	129
8	2023-07-12	ул. Константина Посьета, д.  4к1, (ГП-5.2)	267
9	2023-07-12	ул. Монтажников 36, (ГП-4.7)	31
10	2023-07-12	ул. Монтажников 42, к.1 (ГП-5-12)	110
11	2023-07-12	ул. Монтажников, 42б. (ГП-6.1)	224
12	2023-07-12	ул. Монтажников, д.  42, (ГП-5.10)	224
13	2023-07-12	ул. Монтажников, д.  42а, (ГП-5.11)	224
14	2023-07-12	ул. Монтажников, д. 38	109
15	2023-07-12	ул. Монтажников, д. 40	204
16	2023-07-12	ул. Федора Достоевского, д.  22, (ГП-7.10.2)	5
17	2023-07-12	ул. Федора Достоевского, д.  24, (ГП-7.10.3)	6
18	2023-07-12	ул. Федора Достоевского, д.  26, (ГП-7.1)	255
0	2023-07-13	ул. Александра Митинского, д.  6, (ГП-3.1)	1
1	2023-07-13	ул. Александра Митинского, д. 4, (ГП 3.8)	66
2	2023-07-13	ул. Александра Пушкина д.3, (ГП-7.7)	120
3	2023-07-13	ул. Александра Пушкина, д. 3, к.1 (ГП-7.11)	249
4	2023-07-13	ул. Александра Пушкина, д. 5, (ГП-7.6)	266
5	2023-07-13	ул. Валентины Трофимовой, д. 12	73
6	2023-07-13	ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3)	8
7	2023-07-13	ул. Валентины Трофимовой, д. 8	129
8	2023-07-13	ул. Константина Посьета, д.  4к1, (ГП-5.2)	267
9	2023-07-13	ул. Монтажников 36, (ГП-4.7)	31
10	2023-07-13	ул. Монтажников 42, к.1 (ГП-5-12)	110
11	2023-07-13	ул. Монтажников, 42б. (ГП-6.1)	224
12	2023-07-13	ул. Монтажников, д.  42, (ГП-5.10)	224
13	2023-07-13	ул. Монтажников, д.  42а, (ГП-5.11)	224
14	2023-07-13	ул. Монтажников, д. 38	109
15	2023-07-13	ул. Монтажников, д. 40	204
16	2023-07-13	ул. Федора Достоевского, д.  22, (ГП-7.10.2)	5
17	2023-07-13	ул. Федора Достоевского, д.  24, (ГП-7.10.3)	6
18	2023-07-13	ул. Федора Достоевского, д.  26, (ГП-7.1)	255
0	2023-07-14	ул. Александра Митинского, д.  6, (ГП-3.1)	1
1	2023-07-14	ул. Александра Митинского, д. 4, (ГП 3.8)	66
2	2023-07-14	ул. Александра Пушкина д.3, (ГП-7.7)	120
3	2023-07-14	ул. Александра Пушкина, д. 3, к.1 (ГП-7.11)	249
4	2023-07-14	ул. Александра Пушкина, д. 5, (ГП-7.6)	266
5	2023-07-14	ул. Валентины Трофимовой, д. 12	73
6	2023-07-14	ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3)	8
7	2023-07-14	ул. Валентины Трофимовой, д. 8	129
8	2023-07-14	ул. Константина Посьета, д.  4к1, (ГП-5.2)	267
9	2023-07-14	ул. Монтажников 36, (ГП-4.7)	31
10	2023-07-14	ул. Монтажников 42, к.1 (ГП-5-12)	110
11	2023-07-14	ул. Монтажников, 42б. (ГП-6.1)	224
12	2023-07-14	ул. Монтажников, д.  42, (ГП-5.10)	224
13	2023-07-14	ул. Монтажников, д.  42а, (ГП-5.11)	224
14	2023-07-14	ул. Монтажников, д. 38	109
15	2023-07-14	ул. Монтажников, д. 40	204
16	2023-07-14	ул. Федора Достоевского, д.  22, (ГП-7.10.2)	5
17	2023-07-14	ул. Федора Достоевского, д.  24, (ГП-7.10.3)	6
18	2023-07-14	ул. Федора Достоевского, д.  26, (ГП-7.1)	255
0	2023-07-15	ул. Александра Митинского, д.  6, (ГП-3.1)	1
1	2023-07-15	ул. Александра Митинского, д. 4, (ГП 3.8)	66
2	2023-07-15	ул. Александра Пушкина д.3, (ГП-7.7)	120
3	2023-07-15	ул. Александра Пушкина, д. 3, к.1 (ГП-7.11)	249
4	2023-07-15	ул. Александра Пушкина, д. 5, (ГП-7.6)	266
5	2023-07-15	ул. Валентины Трофимовой, д. 12	73
6	2023-07-15	ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3)	8
7	2023-07-15	ул. Валентины Трофимовой, д. 8	129
8	2023-07-15	ул. Константина Посьета, д.  4к1, (ГП-5.2)	267
9	2023-07-15	ул. Монтажников 36, (ГП-4.7)	31
10	2023-07-15	ул. Монтажников 42, к.1 (ГП-5-12)	110
11	2023-07-15	ул. Монтажников, 42б. (ГП-6.1)	224
12	2023-07-15	ул. Монтажников, д.  42, (ГП-5.10)	224
13	2023-07-15	ул. Монтажников, д.  42а, (ГП-5.11)	224
14	2023-07-15	ул. Монтажников, д. 38	109
15	2023-07-15	ул. Монтажников, д. 40	204
16	2023-07-15	ул. Федора Достоевского, д.  22, (ГП-7.10.2)	5
17	2023-07-15	ул. Федора Достоевского, д.  24, (ГП-7.10.3)	6
18	2023-07-15	ул. Федора Достоевского, д.  26, (ГП-7.1)	255
0	2023-07-16	ул. Александра Митинского, д.  6, (ГП-3.1)	1
1	2023-07-16	ул. Александра Митинского, д. 4, (ГП 3.8)	66
2	2023-07-16	ул. Александра Пушкина д.3, (ГП-7.7)	120
3	2023-07-16	ул. Александра Пушкина, д. 3, к.1 (ГП-7.11)	249
4	2023-07-16	ул. Александра Пушкина, д. 5, (ГП-7.6)	266
5	2023-07-16	ул. Валентины Трофимовой, д. 12	73
6	2023-07-16	ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3)	8
7	2023-07-16	ул. Валентины Трофимовой, д. 8	129
8	2023-07-16	ул. Константина Посьета, д.  4к1, (ГП-5.2)	267
9	2023-07-16	ул. Монтажников 36, (ГП-4.7)	31
10	2023-07-16	ул. Монтажников 42, к.1 (ГП-5-12)	110
11	2023-07-16	ул. Монтажников, 42б. (ГП-6.1)	224
12	2023-07-16	ул. Монтажников, д.  42, (ГП-5.10)	224
13	2023-07-16	ул. Монтажников, д.  42а, (ГП-5.11)	224
14	2023-07-16	ул. Монтажников, д. 38	109
15	2023-07-16	ул. Монтажников, д. 40	204
16	2023-07-16	ул. Федора Достоевского, д.  22, (ГП-7.10.2)	5
17	2023-07-16	ул. Федора Достоевского, д.  24, (ГП-7.10.3)	6
18	2023-07-16	ул. Федора Достоевского, д.  26, (ГП-7.1)	255
0	2023-07-17	ул. Александра Митинского, д.  6, (ГП-3.1)	1
1	2023-07-17	ул. Александра Митинского, д. 4, (ГП 3.8)	66
2	2023-07-17	ул. Александра Пушкина д.3, (ГП-7.7)	120
3	2023-07-17	ул. Александра Пушкина, д. 3, к.1 (ГП-7.11)	249
4	2023-07-17	ул. Александра Пушкина, д. 5, (ГП-7.6)	266
5	2023-07-17	ул. Валентины Трофимовой, д. 12	73
6	2023-07-17	ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3)	8
7	2023-07-17	ул. Валентины Трофимовой, д. 8	129
8	2023-07-17	ул. Константина Посьета, д.  4к1, (ГП-5.2)	267
9	2023-07-17	ул. Монтажников 36, (ГП-4.7)	31
10	2023-07-17	ул. Монтажников 42, к.1 (ГП-5-12)	110
11	2023-07-17	ул. Монтажников, 42б. (ГП-6.1)	224
12	2023-07-17	ул. Монтажников, д.  42, (ГП-5.10)	224
13	2023-07-17	ул. Монтажников, д.  42а, (ГП-5.11)	224
14	2023-07-17	ул. Монтажников, д. 38	109
15	2023-07-17	ул. Монтажников, д. 40	204
16	2023-07-17	ул. Федора Достоевского, д.  22, (ГП-7.10.2)	5
17	2023-07-17	ул. Федора Достоевского, д.  24, (ГП-7.10.3)	6
18	2023-07-17	ул. Федора Достоевского, д.  26, (ГП-7.1)	255
0	2023-07-18	ул. Александра Митинского, д.  6, (ГП-3.1)	1
1	2023-07-18	ул. Александра Митинского, д. 4, (ГП 3.8)	66
2	2023-07-18	ул. Александра Пушкина д.3, (ГП-7.7)	120
3	2023-07-18	ул. Александра Пушкина, д. 3, к.1 (ГП-7.11)	249
4	2023-07-18	ул. Александра Пушкина, д. 5, (ГП-7.6)	266
5	2023-07-18	ул. Валентины Трофимовой, д. 12	73
6	2023-07-18	ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3)	8
7	2023-07-18	ул. Валентины Трофимовой, д. 8	129
8	2023-07-18	ул. Константина Посьета, д.  4к1, (ГП-5.2)	267
9	2023-07-18	ул. Монтажников 36, (ГП-4.7)	31
10	2023-07-18	ул. Монтажников 42, к.1 (ГП-5-12)	110
11	2023-07-18	ул. Монтажников, 42б. (ГП-6.1)	224
12	2023-07-18	ул. Монтажников, д.  42, (ГП-5.10)	224
13	2023-07-18	ул. Монтажников, д.  42а, (ГП-5.11)	224
14	2023-07-18	ул. Монтажников, д. 38	109
15	2023-07-18	ул. Монтажников, д. 40	204
16	2023-07-18	ул. Федора Достоевского, д.  22, (ГП-7.10.2)	5
17	2023-07-18	ул. Федора Достоевского, д.  24, (ГП-7.10.3)	6
18	2023-07-18	ул. Федора Достоевского, д.  26, (ГП-7.1)	255
0	2023-07-19	ул. Александра Митинского, д.  6, (ГП-3.1)	1
1	2023-07-19	ул. Александра Митинского, д. 4, (ГП 3.8)	66
2	2023-07-19	ул. Александра Пушкина д.3, (ГП-7.7)	120
3	2023-07-19	ул. Александра Пушкина, д. 3, к.1 (ГП-7.11)	249
4	2023-07-19	ул. Александра Пушкина, д. 5, (ГП-7.6)	266
5	2023-07-19	ул. Валентины Трофимовой, д. 12	73
6	2023-07-19	ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3)	8
7	2023-07-19	ул. Валентины Трофимовой, д. 8	129
8	2023-07-19	ул. Константина Посьета, д.  4к1, (ГП-5.2)	267
9	2023-07-19	ул. Монтажников 36, (ГП-4.7)	31
10	2023-07-19	ул. Монтажников 42, к.1 (ГП-5-12)	110
11	2023-07-19	ул. Монтажников, 42б. (ГП-6.1)	224
12	2023-07-19	ул. Монтажников, д.  42, (ГП-5.10)	224
13	2023-07-19	ул. Монтажников, д.  42а, (ГП-5.11)	224
14	2023-07-19	ул. Монтажников, д. 38	109
15	2023-07-19	ул. Монтажников, д. 40	204
16	2023-07-19	ул. Федора Достоевского, д.  22, (ГП-7.10.2)	5
17	2023-07-19	ул. Федора Достоевского, д.  24, (ГП-7.10.3)	6
18	2023-07-19	ул. Федора Достоевского, д.  26, (ГП-7.1)	255
0	2023-07-20	ул. Александра Митинского, д.  6, (ГП-3.1)	1
1	2023-07-20	ул. Александра Митинского, д. 4, (ГП 3.8)	66
2	2023-07-20	ул. Александра Пушкина д.3, (ГП-7.7)	120
3	2023-07-20	ул. Александра Пушкина, д. 3, к.1 (ГП-7.11)	249
4	2023-07-20	ул. Александра Пушкина, д. 5, (ГП-7.6)	266
5	2023-07-20	ул. Валентины Трофимовой, д. 12	73
6	2023-07-20	ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3)	8
7	2023-07-20	ул. Валентины Трофимовой, д. 8	129
8	2023-07-20	ул. Константина Посьета, д.  4к1, (ГП-5.2)	267
9	2023-07-20	ул. Монтажников 36, (ГП-4.7)	31
10	2023-07-20	ул. Монтажников 42, к.1 (ГП-5-12)	110
11	2023-07-20	ул. Монтажников, 42б. (ГП-6.1)	224
12	2023-07-20	ул. Монтажников, д.  42, (ГП-5.10)	224
13	2023-07-20	ул. Монтажников, д.  42а, (ГП-5.11)	224
14	2023-07-20	ул. Монтажников, д. 38	109
15	2023-07-20	ул. Монтажников, д. 40	204
16	2023-07-20	ул. Федора Достоевского, д.  22, (ГП-7.10.2)	5
17	2023-07-20	ул. Федора Достоевского, д.  24, (ГП-7.10.3)	6
18	2023-07-20	ул. Федора Достоевского, д.  26, (ГП-7.1)	255
0	2023-07-21	ул. Александра Митинского, д.  6, (ГП-3.1)	1
1	2023-07-21	ул. Александра Митинского, д. 4, (ГП 3.8)	66
2	2023-07-21	ул. Александра Пушкина д.3, (ГП-7.7)	120
3	2023-07-21	ул. Александра Пушкина, д. 3, к.1 (ГП-7.11)	249
4	2023-07-21	ул. Александра Пушкина, д. 5, (ГП-7.6)	266
5	2023-07-21	ул. Валентины Трофимовой, д. 12	73
6	2023-07-21	ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3)	8
7	2023-07-21	ул. Валентины Трофимовой, д. 8	129
8	2023-07-21	ул. Константина Посьета, д.  4к1, (ГП-5.2)	267
9	2023-07-21	ул. Монтажников 36, (ГП-4.7)	31
10	2023-07-21	ул. Монтажников 42, к.1 (ГП-5-12)	110
11	2023-07-21	ул. Монтажников, 42б. (ГП-6.1)	224
12	2023-07-21	ул. Монтажников, д.  42, (ГП-5.10)	224
13	2023-07-21	ул. Монтажников, д.  42а, (ГП-5.11)	224
14	2023-07-21	ул. Монтажников, д. 38	109
15	2023-07-21	ул. Монтажников, д. 40	204
16	2023-07-21	ул. Федора Достоевского, д.  22, (ГП-7.10.2)	5
17	2023-07-21	ул. Федора Достоевского, д.  24, (ГП-7.10.3)	6
18	2023-07-21	ул. Федора Достоевского, д.  26, (ГП-7.1)	255
0	2023-07-22	ул. Александра Митинского, д.  6, (ГП-3.1)	1
1	2023-07-22	ул. Александра Митинского, д. 4, (ГП 3.8)	66
2	2023-07-22	ул. Александра Пушкина д.3, (ГП-7.7)	120
3	2023-07-22	ул. Александра Пушкина, д. 3, к.1 (ГП-7.11)	249
4	2023-07-22	ул. Александра Пушкина, д. 5, (ГП-7.6)	266
5	2023-07-22	ул. Валентины Трофимовой, д. 12	73
6	2023-07-22	ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3)	8
7	2023-07-22	ул. Валентины Трофимовой, д. 8	129
8	2023-07-22	ул. Константина Посьета, д.  4к1, (ГП-5.2)	267
9	2023-07-22	ул. Монтажников 36, (ГП-4.7)	31
10	2023-07-22	ул. Монтажников 42, к.1 (ГП-5-12)	110
11	2023-07-22	ул. Монтажников, 42б. (ГП-6.1)	224
12	2023-07-22	ул. Монтажников, д.  42, (ГП-5.10)	224
13	2023-07-22	ул. Монтажников, д.  42а, (ГП-5.11)	224
14	2023-07-22	ул. Монтажников, д. 38	109
15	2023-07-22	ул. Монтажников, д. 40	204
16	2023-07-22	ул. Федора Достоевского, д.  22, (ГП-7.10.2)	5
17	2023-07-22	ул. Федора Достоевского, д.  24, (ГП-7.10.3)	6
18	2023-07-22	ул. Федора Достоевского, д.  26, (ГП-7.1)	255
0	2023-07-23	ул. Александра Митинского, д.  6, (ГП-3.1)	1
1	2023-07-23	ул. Александра Митинского, д. 4, (ГП 3.8)	66
2	2023-07-23	ул. Александра Пушкина д.3, (ГП-7.7)	120
3	2023-07-23	ул. Александра Пушкина, д. 3, к.1 (ГП-7.11)	249
4	2023-07-23	ул. Александра Пушкина, д. 5, (ГП-7.6)	266
5	2023-07-23	ул. Валентины Трофимовой, д. 12	73
6	2023-07-23	ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3)	8
7	2023-07-23	ул. Валентины Трофимовой, д. 8	129
8	2023-07-23	ул. Константина Посьета, д.  4к1, (ГП-5.2)	267
9	2023-07-23	ул. Монтажников 36, (ГП-4.7)	31
10	2023-07-23	ул. Монтажников 42, к.1 (ГП-5-12)	110
11	2023-07-23	ул. Монтажников, 42б. (ГП-6.1)	224
